"","sample","slope","int","slope.se","int.se","pval","rsq","n"
"1","X2.uM.MUB.buf",1376.71677168348,78648.9459379997,78.5891681674015,546.369019791239,1.74724505312983e-27,0.812107990952164,73
"2","X50.uM.MUB.C.buf",8.27415772047774,694.519437195253,0.303848668592568,2.11242214537978,2.59600700702077e-39,0.912619380166246,73
"3","X2.uM.MUB.sam",656.906145931631,56513.3850387629,62.9070316331977,437.343389844702,5.41333992659565e-16,0.605655521138398,73
"4","X100.uM.buf.in.sam",131.256941877744,1963.54053982391,13.5946369731456,94.512878182063,1.46339019934853e-14,0.567653280910309,73
"5","X50.uM.MUB.C.sam",3614.73602390408,1217.63863208158,10.6974904914655,74.3712846228153,1.38222344683997e-115,0.99937856026203,73
"6","X50.uM.MUB.C.sam.1",3612.59977807952,1608.79857279362,14.6383188824834,101.768782208991,6.62831226872023e-106,0.998835619093339,73
"7","X2.uM.MUB.buf.1",1246.80710857696,76847.1162460894,49.8862283004017,346.819928154911,6.49036153242039e-37,0.89793727713401,73
"8","X50.uM.MUB.G.buf",6.80729359570246,355.032950718744,0.233763160193826,1.6251724210434,3.2635004221132e-41,0.92274227056103,73
"9","X2.uM.MUB.sam.1",491.216401380092,53311.9892603684,67.2948015895809,467.848122571125,3.30549992551677e-10,0.428719780993459,73
"10","X100.uM.buf.in.sam.1",0.663457978003704,297.498704183282,0.221417871401072,1.53934528361437,0.00376097847860591,0.112260895195639,73
"11","X50.uM.MUB.G.sam",4609.69788995853,634.100307233427,6.74065283319309,46.8624871226515,2.5658956206231e-137,0.999848207115499,73
"12","X50.uM.MUB.G.sam.1",5583.14439129987,-884.660897716066,20.6976669954067,143.894690476398,1.20682055614659e-108,0.999025190262137,73
"13","X2.uM.MUB.buf.2",1322.05072201287,80487.86004453,74.1977332851361,515.838807701584,6.52246869080205e-28,0.817235922906767,73
"14","X50.uM.MUB.C.buf.1",7.12217697185873,686.225842240972,0.235960601690792,1.64044951310002,3.08603722020831e-42,0.927702922542046,73
"15","X2.uM.MUB.sam.2",145.178822636747,56393.7763784843,59.328791542015,412.466685118259,0.016881029224848,0.0777773217793593,73
"16","X100.uM.buf.in.sam.2",-0.700481302952452,303.052202889893,0.22232244341492,1.54563406533915,0.00238435301061316,0.122668202864511,73
"17","X50.uM.MUB.C.sam.2",3322.94946335792,1600.64566812626,8.90669189227229,61.9212625892372,1.22568752008112e-118,0.999490173667666,73
"18","X50.uM.MUB.C.sam.3",3277.5908924549,2503.00257323506,21.4274600361535,148.968370700039,3.49069308450622e-91,0.996974658760367,73
"19","X2.uM.MUB.buf.3",1041.85153650045,76705.603104284,40.1791996246043,279.334549872453,6.13510043643561e-38,0.904489171949504,73
"20","X50.uM.MUB.G.buf.1",6.45446131096481,362.930766346834,0.234543675647436,1.63059873453247,1.3108278815727e-39,0.914283093736962,73
"21","X2.uM.MUB.sam.3",-45.7723066523115,62556.6064428944,88.2871403120912,613.791435096237,0.605757649313788,0.00377147576651298,73
"22","X100.uM.buf.in.sam.3",-1.73583857812089,311.099962984706,0.227791293084949,1.58365469977613,8.44717583661578e-11,0.449906687638597,73
"23","X50.uM.MUB.G.sam.2",4070.47204763275,926.222487312255,13.3092009455067,92.5284647282653,1.63277635794103e-112,0.999241521575182,73
"24","X50.uM.MUB.G.sam.3",4892.50333237948,368.856692315984,21.9811132748529,152.817488643215,1.00344371262233e-102,0.9985688884458,73
"25","X2.uM.MUB.buf.4",1175.44150323814,78093.4879606894,62.6318017515372,435.42993174142,3.09094414587635e-29,0.832237979326229,73
"26","X50.uM.MUB.C.buf.2",7.20825620227686,681.449092885408,0.381282489345874,2.65075893822578,2.00266999600215e-29,0.834270911327975,73
"27","X2.uM.MUB.sam.4",209.096260642583,56243.1895583323,62.8320346982916,436.821994813204,0.00138920932994267,0.134933942073387,73
"28","X100.uM.buf.in.sam.4",36.5381340264119,1063.66160660823,5.73730533022827,39.8869966767269,1.65202779191548e-08,0.363559907668517,73
"29","X50.uM.MUB.C.sam.4",3170.72343596906,1868.90594284925,15.7250900198632,109.324251937374,1.10608941462815e-99,0.998256707983951,73
"30","X50.uM.MUB.C.sam.5",3260.11477248044,2616.61271783127,22.4852354371445,156.322255751573,1.54299473065493e-89,0.99663393020695,73
"31","X2.uM.MUB.buf.5",1011.48593120417,85855.8241334817,65.5531557112436,455.739820962135,2.24693363083868e-24,0.770289910213359,73
"32","X50.uM.MUB.G.buf.2",5.12106627244515,383.999629735651,0.260473425052931,1.81086800186884,1.92649156068666e-30,0.844822162233983,73
"33","X2.uM.MUB.sam.5",104.114772334732,56560.5990366768,65.3530816575893,454.348862549801,0.11557764698056,0.034512841615335,73
"34","X100.uM.buf.in.sam.5",-0.561828953147845,305.8367271465,0.220073481091377,1.52999878927103,0.0128333038154498,0.0840763289328837,73
"35","X50.uM.MUB.G.sam.4",4078.46630902395,1106.14732988187,15.328439312998,106.566649802589,3.19363688964613e-108,0.998998098262826,73
"36","X50.uM.MUB.G.sam.5",4524.8296929688,-225.074072025603,18.4697981723686,128.40606101955,1.11565203782884e-105,0.998818415694503,73
"37","X2.uM.MUB.buf.6",1181.91336549706,77716.3691158689,64.7225660682599,449.965380798586,1.55080052811498e-28,0.824462661918683,73
"38","X50.uM.MUB.C.buf.3",6.26027397292769,688.58904106101,0.332433907246195,2.31115295253647,2.52485714429001e-29,0.833188635587352,73
"39","X2.uM.MUB.sam.6",107.157163995041,56996.550166151,81.3516342680354,565.574285997835,0.192003617732561,0.0238542720386539,73
"40","X100.uM.buf.in.sam.6",-2.5118474638633,325.386153289544,0.181302557463142,1.26045488095484,7.16753641102149e-22,0.729982399694925,73
"41","X50.uM.MUB.C.sam.6",3113.11903017703,2154.5597751647,15.477538016194,107.603216472232,1.31742767962769e-99,0.998248100665842,73
"42","X50.uM.MUB.C.sam.7",3309.37930415485,2372.03922615584,20.7827589181357,144.486268062696,2.02701103088171e-92,0.997207730762577,73
"43","X2.uM.MUB.buf.7",884.318956015555,76520.8670811727,45.1830994285248,314.122751538845,2.52807158246106e-30,0.843632704452839,73
"44","X50.uM.MUB.G.buf.3",5.00111070048192,348.075527551623,0.263998475029382,1.83537491732882,1.77510887029792e-29,0.834831546889156,73
"45","X2.uM.MUB.sam.7",-0.531469832852852,56484.6271751643,74.5811240330168,518.504223712483,0.994334256978677,7.15221775232031e-07,73
"46","X100.uM.buf.in.sam.7",-0.654942613913202,303.806368015692,0.193267294049965,1.34363633653506,0.00114888058548049,0.139226058272464,73
"47","X50.uM.MUB.G.sam.6",3948.13383954854,1230.01885974872,13.6154193575805,94.6573618466372,7.14494281628839e-111,0.999156334856704,73
"48","X50.uM.MUB.G.sam.7",4449.98019278232,148.885943185641,7.03096003249074,48.8807660231322,6.25710257253356e-135,0.999822787447087,73
"49","X2.uM.MUB.buf.8",1133.07608302887,78194.5571944966,56.4887389724148,392.722020875182,5.75459813094865e-31,0.850002457247275,73
"50","X50.uM.MUB.C.buf.4",6.55572010440782,682.898556051397,0.337214600288405,2.34438937216406,3.78341793481417e-30,0.841851286892065,73
"51","X2.uM.MUB.sam.8",210.962051089961,58997.5838567341,84.6691471649652,588.638358463641,0.0150546320104987,0.0804072991497702,73
"52","X100.uM.buf.in.sam.8",-2.00870048187983,318.887819340201,0.199700430676952,1.38836090399177,2.68472183892987e-15,0.587628392540288,73
"53","X50.uM.MUB.C.sam.8",3122.69677915806,2223.44944561172,19.0073122326404,132.142975877958,2.21951881758378e-93,0.997376390351226,73
"54","X50.uM.MUB.C.sam.9",3360.0936692106,2268.20509034905,20.560843752053,142.943465478106,3.22878230261896e-93,0.997348544128177,73
"55","X2.uM.MUB.buf.9",3684.10991674073,85642.4985745928,540.45605050285,1542.29136789881,2.09539107468934e-07,0.623994389887282,30
"56","X50.uM.MUB.G.buf.4",5.29637171397156,355.619029962283,0.195921740527572,1.36209062678748,4.16762785557206e-39,0.911447959814156,73
"57","X2.uM.MUB.sam.9",271.092743416015,54913.5942230094,69.1549968691247,480.78060544637,0.000201751447848958,0.177926606881848,73
"58","X100.uM.buf.in.sam.9",-0.858570899308291,302.343206222284,0.224216597150772,1.55880263480139,0.000274420911690357,0.171168783832537,73
"59","X50.uM.MUB.G.sam.8",4021.07589804517,1103.84596044003,14.3863638583883,100.017135986536,9.70202408926306e-110,0.999092009355679,73
"60","X50.uM.MUB.G.sam.9",4782.56571666789,56.9481405885102,20.126432029846,139.923340537446,9.70196912662895e-105,0.998744188940666,73
"61","X2.uM.MUB.buf.10",1831.06327966166,85403.6859112696,136.042167760869,776.271942785374,1.71349331317061e-19,0.757483390289804,60
"62","X50.uM.MUB.C.buf.5",7.61736393974549,679.734172485841,0.365141208254105,2.53854123527849,5.28328702360173e-32,0.859738908085593,73
"63","X2.uM.MUB.sam.10",327.847463886204,56209.9152149582,76.0919101760256,529.00753814268,5.18899536388644e-05,0.207268933693447,73
"64","X100.uM.buf.in.sam.10",-1.39874120742472,311.981488347797,0.18628097973364,1.29506595725793,1.35813611731946e-10,0.442619835789711,73
"65","X50.uM.MUB.C.sam.10",2973.02443555401,2549.96296007812,22.1636818665806,154.086745270216,3.78488208162306e-87,0.99606961675529,73
"66","X50.uM.MUB.C.sam.11",3253.13476510061,2394.28728269494,20.8969960927163,145.280469789915,1.0057194428217e-91,0.997078866043536,73
"67","X2.uM.MUB.buf.11",961.093854197013,77799.6697464747,43.628664825925,303.315983507621,1.84273963985665e-33,0.872365245202466,73
"68","X50.uM.MUB.G.buf.5",5.59477971144072,357.623102523843,0.262343130523497,1.82386660166412,1.36681518939203e-32,0.864969317793049,73
"69","X2.uM.MUB.sam.11",159.472232530953,53857.2624943864,68.813357982261,478.405457469989,0.0233660310083351,0.0703231496792325,73
"70","X100.uM.buf.in.sam.11",-0.747500926100855,303.032950766017,0.24747755941704,1.72051791248126,0.00350620138608413,0.11386572311638,73
"71","X50.uM.MUB.G.sam.10",4201.66512427723,650.59827333058,12.7750483821166,88.8149197285682,9.40361843705434e-115,0.999344072823367,73
"72","X50.uM.MUB.G.sam.11",4621.06349526586,-655.435790423757,25.4091544429759,176.64997773181,1.65757703317569e-96,0.997857979428662,73
"73","X2.uM.MUB.buf.12",1232.8585709819,77826.5471977604,69.8322327737959,485.488897009076,1.11387292638837e-27,0.814468387261676,73
"74","X50.uM.MUB.C.buf.6",7.56312476878883,703.525360936524,0.402431155369665,2.79778907220936,2.84656865763527e-29,0.832625684658176,73
"75","X2.uM.MUB.sam.12",253.687708232778,55135.5723794059,75.0937907858209,522.068394675744,0.00118733436095748,0.138482954192979,73
"76","X100.uM.buf.in.sam.12",0.938356163831273,308.369863012076,0.242891076485588,1.68863168385737,0.000244635526731754,0.173697319277595,73
"77","X50.uM.MUB.C.sam.12",3434.78767142699,1268.02737802766,9.46897168502238,65.8303542156927,9.01275717283508e-118,0.999460700626511,73
"78","X50.uM.MUB.C.sam.13",3405.11810458736,1977.07217648176,17.1845274261335,119.47057876211,3.80508990613776e-99,0.998194969464787,73
"79","X2.uM.MUB.buf.13",1058.09089233333,76205.8245034479,47.8028220528512,332.335633997778,1.36953802057227e-33,0.873425725228874,73
"80","X50.uM.MUB.G.buf.6",0.772306553189576,410.736023690499,0.61084579766693,4.24673307400288,0.210248830431298,0.022018540667494,73
"81","X2.uM.MUB.sam.13",209.656053354911,55277.7349116444,61.8577250907623,430.048382143007,0.00114695499553437,0.139263911121507,73
"82","X100.uM.buf.in.sam.13",0.945205480223034,299.575342456156,0.194457507704145,1.35191096117787,6.77492316266146e-06,0.249683213658118,73
"83","X50.uM.MUB.G.sam.12",4363.45224018146,609.492015410321,17.4080167433496,121.024325188348,2.20055851279868e-106,0.998871228616929,73
"84","X50.uM.MUB.G.sam.13",4842.01888218067,-668.524277458467,22.2004437572639,154.342321943778,4.23225172544519e-102,0.998509675024429,73
"85","X2.uM.MUB.buf.14",1396.91318034282,78347.9866640196,77.9834489448899,542.157927784674,4.7848684816094e-28,0.818819117831382,73
"86","X50.uM.MUB.C.buf.7",8.66382821239748,690.592373145795,0.455571932495137,3.16723533288416,1.40880083590382e-29,0.835900522024101,73
"87","X2.uM.MUB.sam.14",890.783043375083,53465.9181734199,56.4552049674897,392.488885166689,6.54911796860848e-25,0.778099778926006,73
"88","X100.uM.buf.in.sam.14",2.46908552388518,306.171788213564,0.23909245051285,1.66222280846557,8.75488664103148e-16,0.600326516746016,73
"89","X50.uM.MUB.C.sam.14",3651.78137748494,1221.70897615494,8.511100538809,59.1710253101095,6.0219496052551e-123,0.999614474785691,73
"90","X50.uM.MUB.C.sam.15",3878.28415423491,1218.78820487463,7.44047086327805,51.7277745413363,6.03526405675582e-129,0.999738743887127,73
"91","X2.uM.MUB.buf.15",1218.51795637057,77750.8374608463,48.5104842098548,337.255455495848,4.71135492711995e-37,0.89885271381643,73
"92","X50.uM.MUB.G.buf.7",6.83580155534876,366.081081042908,0.222878187449742,1.54949771895251,1.07327846172838e-42,0.929819983544184,73
"93","X2.uM.MUB.sam.15",676.643650533056,54563.3298740643,43.2820059840113,300.905935710004,1.09249473607057e-24,0.774890659974393,73
"94","X100.uM.buf.in.sam.15",0.269714920339944,305.874861161473,0.284520708313121,1.97804995441892,0.346364047979653,0.0124986052071981,73
"95","X50.uM.MUB.G.sam.14",4950.93372854563,-1665.36952060473,35.4779331923455,246.650321342392,2.3087080108766e-88,0.996367377692984,73
"96","X50.uM.MUB.G.sam.15",5196.09774186739,-2244.02483470162,35.7915036548741,248.830331517361,1.40799332748218e-89,0.996642600202315,73
